country_iso3,AI_LIT_001,AI_LIT_002,AI_LIT_004,AI_LIT_005,META_COG_001,META_COG_002,META_COG_003,DEC_AGY_001,DEC_AGY_002,DEC_AGY_003,DEC_AGY_004,DEC_AGY_005,ENAB_001,ENAB_002,ENAB_003,ENAB_004,ENAB_005
AUS,0.7093957282349708,0.6660303431960143,0.8076923076923077,0.8717948717948718,0.5872057700150334,0.5245180123494827,0.9090909090909092,0.8199779765481445,0.6842714756042262,0.7513812154696131,0.5354330708661417,0.7008928571428568,0.7918968692449351,0.43971631205673756,0.48235294117647065,0.6049382716049383,0.5277777777777777
AUT,0.6370001802903753,0.5508082311945985,0.7051282051282052,0.8974358974358975,0.6756010979221915,0.5862506699797352,0.6545454545454543,0.6426340006215416,0.8129407640576933,0.7016574585635365,0.4881889763779528,0.59375,0.7071823204419889,0.5602836879432624,0.6470588235294112,0.6111111111111107,0.6180555555555562
BEL,0.312165213736884,0.5767583305534061,0.5897435897435898,0.5256410256410257,0.4941329914267821,0.40077847438679803,0.47878787878787854,0.5204776463240505,0.5429071420646031,0.7016574585635365,0.5472440944881889,0.4285714285714284,0.7200736648250468,0.5460992907801421,0.5294117647058822,0.666666666666667,0.645833333333333
BGR,0.08422055085425073,0.020789704987771194,0.1794871794871795,0.0641025641025641,0.02902855554159036,0.09339000902951278,0.19999999999999973,0.06432750733586486,0.050476851155268634,0.05524861878453091,0.04330708661417315,0.26339285714285676,0.16390423572743984,0.3404255319148941,0.0235294117647058,0.5740740740740735,0.11111111111111072
CAN,0.7485566516766515,0.731473099549061,0.7051282051282052,0.47435897435897434,0.7369876799568156,0.7701352259622374,0.9757575757575756,0.7874117223817969,0.7290187031024395,0.7237569060773481,0.7559055118110236,0.870535714285714,0.7467771639042358,0.7234042553191493,0.7411764705882362,0.7716049382716053,0.5763888888888884
CYP,0.14780501406827806,0.041243822951287167,0.20512820512820512,0.11538461538461539,0.1844408966463844,0.24368217992883456,0.47878787878787854,0.2082304996478636,0.05446115557432371,0.27071823204419854,0.41732283464566944,0.3616071428571428,0.17495395948434656,0.2624113475177303,0.16470588235294237,0.4320987654320989,0.3263888888888893
CZE,0.3640248505790751,0.4946069760658684,0.3333333333333333,0.28205128205128205,0.5203821192467242,0.44154378065848543,0.6727272727272724,0.3517455998406993,0.6641768210966039,0.4088397790055245,0.4921259842519685,0.8571428571428568,0.37200736648250476,0.39716312056737557,0.41176470588235325,0.44444444444444464,0.30555555555555625
DEU,0.969738578643368,0.7557174644228721,0.6282051282051282,0.5256410256410257,0.5053861367560524,0.6931048844742072,0.6666666666666665,0.7874117223817969,0.7228242173711542,0.5856353591160222,0.6614173228346458,0.7410714285714284,0.7744014732965008,0.5460992907801421,0.6470588235294112,0.8024691358024691,0.625
DNK,0.8528245533691031,0.9087014010735508,0.8461538461538461,0.8461538461538461,0.8226659863819132,0.8283957826690143,0.9757575757575756,0.9623973230431081,0.946738746587751,1.0,1.0,0.9151785714285712,0.904235727440148,0.5957446808510642,0.9882352941176471,0.8703703703703702,0.6388888888888893
ESP,0.14240853268836312,0.38003906759101125,0.10256410256410256,0.23076923076923078,0.3205929975351779,0.4518505667983798,0.46666666666666634,0.4423573958182804,0.44670708375623636,0.6353591160220997,0.2755905511811023,0.4419642857142856,0.4189686924493552,0.3049645390070923,0.6470588235294112,0.401234567901235,0.3958333333333339
EST,0.744769878375126,0.8553755879809356,0.8846153846153846,0.782051282051282,0.9213951087781891,0.7856535656201828,0.6545454545454543,0.775835328680427,0.5649564850066698,0.7403314917127073,0.7007874015748032,0.6205357142857144,0.9125230202578267,0.7163120567375891,0.8235294117647065,0.8580246913580245,0.6180555555555562
